Sorter_by_Category,Type,Category,Name,Description,Price,ImageURL
5,NonVeg,Sea Food,Butter Garlic Prawn,Juicy prawns glazed with butter and garlic.,440,ButterGarlicPrawn.jpg
5,NonVeg,Sea Food,Chilly Garlic Prawn,Prawns tossed in zesty garlic-chili sauce.,440,ChillyGarlicPrawn.jpg
5,NonVeg,Sea Food,Schezwan Prawn,Prawns cooked in fiery Schezwan sauce.,440,SchezwanPrawn.jpg
5,Veg,Curries,Dal Fry,Yellow lentils tempered with spices.,220,
5,Veg,Curries,Dal Thadka,Spicy tempered dal preparation.,230,
5,Veg,Curries,Green Peas Masala,Green peas cooked in spiced gravy.,250,
5,Veg,Curries,Kadai Veg,Vegetable curry cooked in kadai spices.,250,
5,Veg,Curries,Mixed Veg Curry,Mixed vegetables cooked in curry sauce.,250,
5,Veg,Curries,Veg Butter Masala,Rich buttery curry with mixed veggies.,250,
5,Veg,Curries,Babycorn Masala,Babycorn cooked in flavorful masala.,270,
5,Veg,Curries,Veg Chettinad,Chettinad-style spicy vegetable curry.,280,
5,Veg,Curries,Veg Jaipoori,Traditional Jaipuri style vegetable curry.,280,
5,Veg,Curries,Veg Kolhapuri,Fiery veg curry in Kolhapuri style.,280,
5,Veg,Curries,Mushroom Masala,Spiced curry made with mushrooms.,285,
5,Veg,Curries,Kadai Paneer,Paneer cooked in kadai style spices.,290,
5,Veg,Curries,Mutter Paneer Masala,Green peas and paneer cooked in gravy.,290,
5,Veg,Curries,Paneer Butter Masala,Classic rich butter gravy with paneer.,290,
5,Veg,Curries,Methi Chaman,Paneer and greens cooked in spiced curry.,320,
5,Veg,Curries,Paneer Chettinad,Chettinad style paneer curry.,320,
5,Veg,Curries,Cashew Tomato Curry,Cashew and tomato-based curry.,350,
5,Veg,Curries,Paneer Keema Masala,Paneer cooked like keema in spicy gravy.,350,
5,Veg,Curries,Cashew Masala,Cashew nut curry in a spiced base.,375,
5,Veg,Curries,Cashew Paneer,Paneer cooked with cashew-rich gravy.,375,
6,NonVeg,Biryanis,Chi. Boneless Biryani,Fragrant biryani with tender boneless chicken.,350,ChickenBonelessBiryani.jpg
6,NonVeg,Biryanis,Chi. Dum Biryani,Classic chicken dum biryani cooked on a slow flame.,315,ChickenDumBiryani.JPG
6,NonVeg,Biryanis,Chi. Fry Biryani,Biryani served with crispy fried chicken pieces.,325,ChickenFryBiryani.jpg
6,NonVeg,Biryanis,Chi. Mughlai Biryani,Rich chicken biryani infused with Mughlai spices.,375,ChickenMughalaiBiryani.jpg
6,NonVeg,Biryanis,Tandoori Double Joint Biryani,Grand biryani topped with double tandoori joints.,550,TandooriDoubleJointBiryani.jpg
6,NonVeg,Biryanis,Dum Rice,Slow-cooked dum style rice layered with spices.,215,
6,NonVeg,Biryanis,Egg Biryani,Aromatic biryani layered with spiced eggs.,275,
6,NonVeg,Biryanis,Chi. Avakai Biryani,Spicy chicken biryani with avakai pickle flavor.,400,
6,NonVeg,Biryanis,Fish Biryani,Traditional biryani with seasoned fish.,400,
6,NonVeg,Biryanis,Prawn Biryani,Flavorful biryani layered with marinated prawns.,400,
6,NonVeg,Biryanis,Spl. Chicken Biryani,Special house-style chicken biryani.,400,
6,NonVeg,Biryanis,Chi. Keema Biryani,Minced chicken biryani cooked with rich spices.,425,
6,NonVeg,Biryanis,Chi. Tikka Biryani,Biryani topped with juicy chicken tikka.,425,
6,NonVeg,Biryanis,Chi. Ulavacharu Biryani,Unique chicken biryani with ulavacharu gravy.,425,
6,NonVeg,Biryanis,Fish Avakai Biryani,Fish biryani infused with avakai spice.,425,
6,NonVeg,Biryanis,Gongura Chi. Biryani,Tangy chicken biryani with gongura leaves.,425,
6,NonVeg,Biryanis,Prawn Avakai Biryani,Prawn biryani spiked with avakai flavors.,425,
6,NonVeg,Biryanis,Tandoori Joint Biryani,Biryani loaded with smoky tandoori chicken joints.,425,
6,NonVeg,Biryanis,Gongura Prawn Biryani,Prawn biryani flavored with gongura greens.,440,
6,NonVeg,Biryanis,Kalmi Chicken Biryani,Biryani with succulent kalmi chicken pieces.,440,
6,NonVeg,Biryanis,Prawn Mughlai Biryani,Royal-style prawn biryani with rich spices.,440,
6,NonVeg,Biryanis,Mutton Fry Biryani,Biryani with spiced fried mutton pieces.,475,
6,NonVeg,Biryanis,Gongura Mutton Biryani,Mutton biryani cooked with gongura gravy.,500,
6,NonVeg,Biryanis,Mutton Mughlai Biryani,Rich Mughlai-style mutton biryani.,500,
6,NonVeg,Biryanis,Mutton Ulavacharu Biryani,Mutton biryani blended with ulavacharu.,500,
6,NonVeg,Biryanis,Mixed Mughlai Biryani,Assorted meats in a decadent Mughlai biryani.,525,
6,Veg,Rices,Plain Rice,Steamed plain rice.,110,
6,Veg,Rices,Steam Rice,Simple steamed rice.,120,
6,Veg,Rices,Curd Rice,Cooling rice with yogurt.,180,
6,Veg,Rices,Veg Fried Rice,Classic fried rice with vegetables.,300,
6,Veg,Rices,Cashew Fried Rice,Rice tossed with cashew nuts.,350,
6,Veg,Rices,Jeera Rice,Rice flavored with cumin seeds.,350,
6,Veg,Rices,Sweet Corn Fried Rice,Fried rice with sweet corn.,350,
6,Veg,Rices,Spl. Fried Rice,"Special fried rice with paneer, mushroom or babycorn.",360,
7,NonVeg,Curries,Mutton Fry,Fried mutton pieces.,500,muttonfry.jpg
7,NonVeg,Curries,Egg Bhurji,Scrambled eggs cooked with spices.,200,
7,NonVeg,Curries,Egg Masala,Egg curry in spiced masala gravy.,225,
7,NonVeg,Curries,Chicken Curry Bone,Traditional chicken curry with bone.,315,
7,NonVeg,Curries,Chicken Curry B/L,Boneless chicken curry.,340,
7,NonVeg,Curries,Chicken Fry Bone,Spiced chicken fry with bone.,340,
7,NonVeg,Curries,Kadai Chicken,Chicken cooked with kadai spices.,340,
7,NonVeg,Curries,Chicken Chettinad,Chettinad-style spicy chicken curry.,350,
7,NonVeg,Curries,Chicken Fry Boneless,Boneless fried chicken curry.,375,
7,NonVeg,Curries,Butter Chicken Curry,Classic butter chicken curry.,390,
7,NonVeg,Curries,Chicken Moghalai Curry,Mughlai-style chicken curry.,390,
7,NonVeg,Curries,Gongura Chicken Bone,Chicken curry cooked with gongura leaves.,390,
7,NonVeg,Curries,Cashew Chicken Curry,Chicken curry with cashew-rich gravy.,400,
7,NonVeg,Curries,Fish Curry Boneless,Boneless fish curry.,425,
7,NonVeg,Curries,Fish Fry Boneless,Boneless fish fry.,425,
7,NonVeg,Curries,Prawn Curry,Spicy prawn curry.,425,
7,NonVeg,Curries,Mutton Curry,Classic mutton curry with spices.,440,
7,NonVeg,Curries,Prawn Gongura Curry,Prawn curry cooked with gongura.,440,
7,NonVeg,Curries,Prawn Moghali Curry,Mughlai-style prawn curry.,440,
7,NonVeg,Curries,Mutton Gongura,Mutton curry cooked with gongura.,465,
7,NonVeg,Curries,Mutton Moghali Curry,Rich Mughlai-style mutton curry.,465,
7,NonVeg,Curries,Prawn Fry,Fried prawns with spices.,465,
8,NonVeg,Rices,Egg Fried Rice,Stir-fried rice tossed with fluffy eggs.,265,
8,NonVeg,Rices,Chicken Fried Rice,Wok-tossed rice with juicy chicken.,300,
8,NonVeg,Rices,Prawn Fried Rice,Fried rice packed with prawns.,340,
8,NonVeg,Rices,Spl. Chicken Fried Rice,Signature chicken fried rice with extra flavor.,365,
8,NonVeg,Rices,Spl. Prawn Fried Rice,Special prawn fried rice with bold seasoning.,390,
8,NonVeg,Rices,Mix. Non Veg Fried Rice,Combination fried rice with assorted meats.,435,
1,General,Tiffins,Idly,Soft and fluffy steamed rice cakes served with chutney and sambar.,60,
1,General,Tiffins,Vada,Crispy golden medu vada served with chutney and sambar.,70,
1,General,Tiffins,Mysore Bonda,Soft and crispy Mysore bonda served hot with chutney.,70,
1,General,Tiffins,Onion Bonda,Crispy onion fritters served with chutney.,70,
1,General,Tiffins,Plain Dosa,Golden crispy dosa served with chutney and sambar.,70,
1,General,Tiffins,Masala Dosa,Crispy dosa stuffed with flavorful potato masala.,90,
1,General,Tiffins,Onion Dosa,Crispy dosa topped with freshly chopped onions.,90,
1,General,Tiffins,Poori,Fluffy deep-fried poori served with potato curry.,100,
